COL1A2	COL1A1
EFNB3	EFNB1
EFNB2	EFNB3
EFNB2	EFNB1
ACTG1	ACTB
IGKC	FCER1A
IGKC	MS4A2
IGKC	IGHE
IGKC	FCER1G
MS4A2	FCER1A
IGHE	FCER1A
MS4A2	FCER1G
FCER1G	FCER1A
IGHE	MS4A2
IGHE	FCER1G
KRT26	KRT25
KRT28	KRT25
KRT27	KRT25
KRT25	FLG
KRT28	FLG
KRT26	FLG
KRT28	KRT26
KRT27	FLG
KRT28	KRT27
KRT26	KRT27
GH2	GH1
HSPA8	HSP90AA1
HSPA8	HSP90AB1
HSP90AB1	LAMP2
HSP90AA1	HSP90AB1
HSP90AA1	LAMP2
HSPA8	LAMP2
IFT88	HDAC6
HSP90AA1	CFTR
IFT88	PLIN3
HSP90AB1	IFT88
IFT88	CFTR
PCNT	PARK7
HSP90AA1	HBB
ARL13B	PARK7
HSP90AA1	CETN1
HSP90AB1	PCNT
HBB	CETN1
PCNT	PLIN3
ARL13B	HDAC6
ARL13B	CFTR
HSP90AA1	PARK7
LAMP2	IFT88
CETN1	VIM
HSP90AB1	PARK7
CETN1	RNASE1
CFTR	PARK7
ARL13B	PLIN3
PCNT	IFT88
IFT88	PARK7
LAMP2	HDAC6
PCNT	ARL13B
LAMP2	VIM
VIM	PLIN2
PLIN2	RNASE1
PARK7	PLIN3
IFT88	ARL13B
HDAC6	PLIN2
LAMP2	PCNT
HBB	RNASE1
HSP90AA1	IFT88
HBB	PARK7
HBB	PLIN3
HSP90AB1	ARL13B
CFTR	HDAC6
HBB	PCNT
HSP90AA1	PLIN2
PARK7	VIM
CFTR	VIM
PARK7	RNASE1
ARL13B	RNASE1
HSP90AB1	HBB
HSP90AA1	PLIN3
LAMP2	RNASE1
CETN1	IFT88
HSP90AA1	PCNT
HBB	PLIN2
VIM	PLIN3
HSP90AB1	CFTR
ARL13B	VIM
CETN1	HDAC6
LAMP2	PLIN3
HDAC6	PLIN3
ARL13B	PLIN2
HSP90AB1	CETN1
PCNT	HDAC6
PLIN2	PLIN3
HBB	VIM
CFTR	PLIN3
CETN1	PARK7
PARK7	PLIN2
HSP90AB1	PLIN3
HSP90AB1	PLIN2
HSP90AA1	HDAC6
HBB	HDAC6
CETN1	PCNT
HSP90AA1	VIM
HSP90AB1	RNASE1
IFT88	RNASE1
LAMP2	CFTR
LAMP2	CETN1
HDAC6	RNASE1
HDAC6	VIM
VIM	RNASE1
IFT88	VIM
LAMP2	PLIN2
PARK7	HDAC6
CETN1	PLIN2
PCNT	RNASE1
LAMP2	HBB
HSP90AA1	RNASE1
IFT88	PLIN2
CETN1	ARL13B
CFTR	RNASE1
CETN1	CFTR
HSP90AB1	HDAC6
HSP90AB1	VIM
HBB	ARL13B
LAMP2	PARK7
LAMP2	ARL13B
PCNT	VIM
HBB	IFT88
PCNT	PLIN2
HSP90AA1	ARL13B
CFTR	PLIN2
HBB	CFTR
PCNT	CFTR
PLIN3	RNASE1
CETN1	PLIN3
NLRP3	APP
SCUBE3	SCUBE1
SFTPA1	SFTPA2
COL4A2	COL4A1
COL4A5	COL4A2
COL4A5	COL4A1
COL4A6	COL4A2
COL4A6	COL4A5
COL4A6	COL4A1
COL4A4	COL4A5
COL4A3	COL4A4
COL4A3	COL4A5
ACTC1	ACTA1
RIPK3	RIPK1
SUMO3	SUMO2
BRAF	YWHAB
TLE3	TCF7L2
TLE2	TCF7L2
TLE1	TCF7L2
TLE1	LEF1
TLE4	TCF7L2
TLE3	LEF1
TLE4	LEF1
TLE2	LEF1
HDAC1	LEF1
HDAC1	TLE4
HDAC1	TLE2
HDAC1	TLE1
HDAC1	TLE3
HDAC1	TCF7L2
SMAD3	EP300
EP300	SP1
SMAD4	SP1
SMAD3	SP1
SMAD4	EP300
GNAL	GNAI2
GNAL	GNAT3
GNAL	GNAI1
GNAL	GNAI3
POLD2	RPA3
POLK	RPA1
POLD3	RPA1
PCNA	RPA3
POLD1	RPA3
POLK	RPA3
POLD4	RPA2
POLD4	RPA1
POLK	RPA2
POLD4	RPA3
POLD3	RPA2
PCNA	RPA2
POLD3	RPA3
PCNA	RPA1
POLD2	RPA1
POLD1	RPA1
POLD2	RPA2
POLD1	RPA2
PTPRZ1	PTN
PTPRZ1	MDK
MDK	PTN
MLKL	RIPK1
MLKL	RIPK3
PPP1R13B	TP63
TP53BP2	TP53
TP53BP2	TP63
PPP1R13B	TP73
PPP1R13B	TP53
TP53BP2	TP73
PPP1R13L	TP63
PPP1R13L	TP53
PPP1R13L	TP73
CLEC7A	SYK
RAF1	YWHAZ
ISCU	NFS1
LYRM4	ISCU
ISCU	FXN
LYRM4	FXN
LYRM4	NFS1
FXN	NFS1
PAK3	VAV1
VAV1	RAC1
PAK1	VAV1
VAV2	VAV1
PAK2	VAV1
VAV1	VAV3
PAK3	VAV3
VAV2	VAV3
VAV2	RAC1
PAK2	RAC1
PAK2	VAV2
PAK1	VAV3
PAK2	VAV3
PAK1	VAV2
VAV3	RAC1
PAK1	RAC1
PAK3	VAV2
PAK3	RAC1
GABRG3	GABRA1
GABRG3	GABRB3
GABRG3	GABRB2
GABRG2	GABRB3
GABRG3	GABRB1
GABRG2	GABRB2
GABRB2	GABRB1
GABRB2	GABRA1
GABRB1	GABRB3
GABRG2	GABRB1
GABRB3	GABRA1
GABRG2	GABRA1
GABRB2	GABRB3
GABRB1	GABRA1
GABRG2	GABRQ
GABRQ	GABRB1
GABRQ	GABRA1
GABRG3	GABRQ
GABRQ	GABRB3
GABRQ	GABRB2
GCHFR	GCH1
GLI3	SPOP
GLI2	SPOP
GLI3	CUL3
GLI2	CUL3
GLI2	RBX1
GLI3	RBX1
C1S	C1R
C1S	SERPING1
SERPING1	C1R
GFRA2	NRTN
GFRA1	GFRA2
GFRA2	GFRA4
GFRA4	ARTN
NRTN	ARTN
GFRA1	NRTN
GFRA1	RET
GDNF	PSPN
GFRA1	PSPN
RET	GFRA4
RET	GDNF
GFRA4	GFRA3
PSPN	GFRA4
GFRA1	GFRA3
GDNF	GFRA4
GFRA1	GFRA4
GDNF	GFRA3
GFRA2	ARTN
RET	NRTN
NRTN	PSPN
GFRA1	GDNF
GFRA2	GDNF
GDNF	ARTN
RET	PSPN
NRTN	GDNF
PSPN	GFRA3
NRTN	GFRA4
GFRA1	ARTN
RET	GFRA3
GFRA2	GFRA3
PSPN	ARTN
RET	ARTN
GFRA3	ARTN
GFRA2	PSPN
GFRA2	RET
NRTN	GFRA3
GAB2	GFRA4
GAB1	SHC1
GAB1	ARTN
GAB2	RET
GAB2	GFRA3
GAB2	ARTN
GAB1	GDNF
GAB1	GFRA1
GAB1	GRB2
GAB2	NRTN
GAB2	GDNF
GAB1	NRTN
GAB1	RET
GAB2	GFRA1
GAB2	SHC1
GAB2	GFRA2
GAB1	GFRA4
GAB1	GFRA2
GAB1	PSPN
GAB1	GFRA3
GAB2	PSPN
GAB2	GRB2
GFRA4	PTPN11
GFRA2	PTPN11
GRB2	PTPN11
ARTN	PTPN11
SHC1	PTPN11
RET	PTPN11
NRTN	PTPN11
GFRA1	PTPN11
GDNF	PTPN11
GAB2	PTPN11
PSPN	PTPN11
GAB1	PTPN11
GFRA3	PTPN11
ARTN	PIK3CB
SHC1	PIK3CB
GFRA3	PIK3R1
NRTN	PIK3CD
GFRA3	PIK3CD
GFRA4	PIK3CA
GFRA3	PIK3CB
GRB2	PIK3CD
GAB1	PIK3CA
GAB2	PIK3CB
RET	PIK3CB
GFRA4	PIK3R1
GDNF	PIK3CA
GAB1	PIK3R1
SHC1	PIK3R1
RET	PIK3R1
GFRA1	PIK3CB
GDNF	PIK3CB
GAB2	PIK3R1
SHC1	PIK3CA
NRTN	PIK3CA
GFRA3	PIK3CA
GAB2	PIK3CA
NRTN	PIK3CB
NRTN	PIK3R1
RET	PIK3CD
GFRA2	PIK3CD
GFRA1	PIK3R1
GFRA4	PIK3CD
ARTN	PIK3CA
GFRA2	PIK3R1
PSPN	PIK3CA
GAB1	PIK3CD
GDNF	PIK3R1
GDNF	PIK3CD
GFRA1	PIK3CA
