source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	evidences
GO:CC	GO:0030018	Z disc	2.2994638260296486e-08	True	"""Platelike region of a muscle sarcomere to which the plus ends of actin filaments are attached."" [GOC:mtg_muscle, ISBN:0815316194]"	132	7	5	22122	0.7142857142857143	0.03787878787878788	CoGs	['GO:0031674', 'GO:0110165']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0031674	I band	3.8307658673205e-08	True	"""A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end."" [ISBN:0321204131]"	146	7	5	22122	0.7142857142857143	0.03424657534246575	CoGs	['GO:0030017', 'GO:0110165']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0030017	sarcomere	2.827381590825544e-07	True	"""The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."" [ISBN:0815316194]"	217	7	5	22122	0.7142857142857143	0.02304147465437788	CoGs	['GO:0030016', 'GO:0110165']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0030016	myofibril	4.4984946350450117e-07	True	"""The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."" [ISBN:0815316194]"	238	7	5	22122	0.7142857142857143	0.02100840336134454	CoGs	['GO:0043292']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0043292	contractile fiber	5.420549246360166e-07	True	"""Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."" [GOC:go_curators, ISBN:0815316194]"	247	7	5	22122	0.7142857142857143	0.020242914979757085	CoGs	['GO:0005737', 'GO:0043232', 'GO:0099512']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0042383	sarcolemma	7.887553772025786e-06	True	"""The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers."" [ISBN:0198506732]"	138	7	4	22122	0.5714285714285714	0.028985507246376812	CoGs	['GO:0005886']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000135636', 'ENSG00000120729']	[['IDA', 'ISS', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IDA', 'IBA', 'IEA'], ['IEA']]
GO:CC	GO:0099512	supramolecular fiber	0.0007228660234072773	True	"""A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:dos]"	1048	7	5	22122	0.7142857142857143	0.004770992366412214	CoGs	['GO:0099081']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0099081	supramolecular polymer	0.0007539723924510659	True	"""A polymeric supramolecular structure."" [GOC:dos]"	1057	7	5	22122	0.7142857142857143	0.004730368968779565	CoGs	['GO:0099080']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0099080	supramolecular complex	0.0031154322579105827	True	"""A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."" [GOC:dos]"	1411	7	5	22122	0.7142857142857143	0.003543586109142452	CoGs	['GO:0110165']	['ENSG00000182533', 'ENSG00000175084', 'ENSG00000105993', 'ENSG00000120729', 'ENSG00000155657']	[['ISS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IEA'], ['IDA', 'IMP', 'IEA'], ['IDA', 'IPI']]
GO:CC	GO:0014704	intercalated disc	0.017815610072034475	True	"""A complex cell-cell junction at which myofibrils terminate in cardiomyocytes; mediates mechanical and electrochemical integration between individual cardiomyocytes. The intercalated disc contains regions of tight mechanical attachment (fasciae adherentes and desmosomes) and electrical coupling (gap junctions) between adjacent cells."" [GOC:mtg_muscle, PMID:11732910]"	52	7	2	22122	0.2857142857142857	0.038461538461538464	CoGs	['GO:0044291']	['ENSG00000182533', 'ENSG00000175084']	[['IEA'], ['IDA', 'IEA']]
