source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	evidences
GO:BP	GO:0030239	myofibril assembly	4.2027111973240985e-05	True	"""Formation of myofibrils, the repeating units of striated muscle."" [GOC:mah]"	68	11	4	21110	0.36363636363636365	0.058823529411764705	DoGs	['GO:0010927', 'GO:0031032', 'GO:0055002', 'GO:0097435', 'GO:0140694']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0055002	striated muscle cell development	4.4601537089532613e-05	True	"""The process whose specific outcome is the progression of a striated muscle cell over time, from its formation to the mature structure. Striated muscle cells contain fibers that are divided by transverse bands into striations, and cardiac and skeletal muscle are types of striated muscle."" [CL:0000737, GOC:devbiol]"	69	11	4	21110	0.36363636363636365	0.057971014492753624	DoGs	['GO:0051146', 'GO:0055001']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0010927	cellular component assembly involved in morphogenesis	0.0004769688228369513	True	"""The cellular component assembly that is part of the initial shaping of the component during its developmental progression."" [GOC:dph, GOC:tb]"	124	11	4	21110	0.36363636363636365	0.03225806451612903	DoGs	['GO:0022607', 'GO:0032989', 'GO:0048646']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0061061	muscle structure development	0.000503060214581767	True	"""The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."" [GOC:dph]"	664	11	6	21110	0.5454545454545454	0.009036144578313253	DoGs	['GO:0048856']	['ENSG00000109846', 'ENSG00000022267', 'ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IEA'], ['NAS', 'IEA'], ['IMP', 'IEA'], ['IBA', 'IEA'], ['IMP', 'IBA'], ['IBA', 'TAS', 'NAS']]
GO:BP	GO:0045214	sarcomere organization	0.0018128985471307494	True	"""The myofibril assembly process that results in the organization of muscle actomyosin into sarcomeres. The sarcomere is the repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."" [GOC:bf]"	44	11	3	21110	0.2727272727272727	0.06818181818181818	DoGs	['GO:0030239', 'GO:0031032']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054']	[['IMP'], ['IEA'], ['IBA']]
GO:BP	GO:0055001	muscle cell development	0.002466439327225151	True	"""The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate."" [CL:0000187, GOC:devbiol]"	187	11	4	21110	0.36363636363636365	0.0213903743315508	DoGs	['GO:0042692', 'GO:0048468']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP', 'IEA'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0031032	actomyosin structure organization	0.003287369460030395	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures containing both actin and myosin or paramyosin. The myosin may be organized into filaments."" [GOC:dph, GOC:jl, GOC:mah]"	201	11	4	21110	0.36363636363636365	0.01990049751243781	DoGs	['GO:0030036']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0009653	anatomical structure morphogenesis	0.011114232981026177	True	"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]"	2712	11	8	21110	0.7272727272727273	0.0029498525073746312	DoGs	['GO:0032502', 'GO:0048856']	['ENSG00000109846', 'ENSG00000079805', 'ENSG00000022267', 'ENSG00000128591', 'ENSG00000122367', 'ENSG00000015479', 'ENSG00000092054', 'ENSG00000183091']	[['IEA'], ['ISS', 'IEA'], ['NAS'], ['IMP'], ['IEA'], ['IEA'], ['IMP', 'IBA'], ['IBA']]
GO:BP	GO:0051146	striated muscle cell differentiation	0.012397549200233825	True	"""The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."" [CL:0000737, GOC:ai]"	281	11	4	21110	0.36363636363636365	0.014234875444839857	DoGs	['GO:0042692']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0007517	muscle organ development	0.029748397850683728	True	"""The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work."" [GOC:jid, ISBN:0198506732]"	351	11	4	21110	0.36363636363636365	0.011396011396011397	DoGs	['GO:0048513', 'GO:0061061']	['ENSG00000109846', 'ENSG00000022267', 'ENSG00000092054', 'ENSG00000183091']	[['IEA'], ['NAS', 'IEA'], ['IMP'], ['TAS']]
GO:BP	GO:0032989	cellular component morphogenesis	0.03786129555401215	True	"""The process in which cellular structures, including whole cells or cell parts, are generated and organized."" [GOC:dph, GOC:mah, GOC:tb]"	796	11	5	21110	0.45454545454545453	0.00628140703517588	DoGs	['GO:0009653', 'GO:0016043', 'GO:0048869']	['ENSG00000079805', 'ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['ISS', 'IEA'], ['IMP'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0042692	muscle cell differentiation	0.042301879640122685	True	"""The process in which a relatively unspecialized cell acquires specialized features of a muscle cell."" [CL:0000187, GOC:go_curators]"	384	11	4	21110	0.36363636363636365	0.010416666666666666	DoGs	['GO:0030154', 'GO:0061061']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP', 'IEA'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0097435	supramolecular fiber organization	0.04342814183657366	True	"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a supramolecular fiber, a polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:pr]"	819	11	5	21110	0.45454545454545453	0.006105006105006105	DoGs	['GO:0016043']	['ENSG00000109846', 'ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IDA'], ['IMP'], ['IEA'], ['IBA'], ['IBA']]
GO:BP	GO:0140694	non-membrane-bounded organelle assembly	0.04449778850997179	True	"""The aggregation, arrangement and bonding together of a set of components to form a non-membrane-bounded organelle."" [PMID:28225081]"	389	11	4	21110	0.36363636363636365	0.010282776349614395	DoGs	['GO:0070925']	['ENSG00000128591', 'ENSG00000122367', 'ENSG00000092054', 'ENSG00000183091']	[['IMP'], ['IEA'], ['IBA'], ['IBA']]
