source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	evidences
GO:BP	GO:0007517	muscle organ development	2.3733073092444783e-11	True	"""The process whose specific outcome is the progression of the muscle over time, from its formation to the mature structure. The muscle is an organ consisting of a tissue made up of various elongated cells that are specialized to contract and thus to produce movement and mechanical work."" [GOC:jid, ISBN:0198506732]"	351	22	11	21110	0.5	0.03133903133903134	PoGs	['GO:0048513', 'GO:0061061']	['ENSG00000112276', 'ENSG00000092529', 'ENSG00000173402', 'ENSG00000106692', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IMP', 'IBA', 'NAS'], ['TAS'], ['IBA'], ['TAS'], ['IMP'], ['IEA'], ['TAS'], ['TAS', 'IEA'], ['TAS'], ['TAS'], ['IMP', 'IBA']]
GO:BP	GO:0061061	muscle structure development	7.107593410424978e-10	True	"""The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."" [GOC:dph]"	664	22	12	21110	0.5454545454545454	0.018072289156626505	PoGs	['GO:0048856']	['ENSG00000112276', 'ENSG00000092529', 'ENSG00000173402', 'ENSG00000106692', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991', 'ENSG00000119401']	[['IMP', 'IBA', 'NAS', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IBA'], ['TAS'], ['IMP', 'IEA'], ['IEA'], ['TAS'], ['TAS', 'IEA'], ['TAS', 'IEA'], ['TAS'], ['IMP', 'IBA', 'TAS'], ['IEA']]
GO:BP	GO:0055013	cardiac muscle cell development	2.187786537107182e-07	True	"""The process whose specific outcome is the progression of a cardiac muscle cell over time, from its formation to the mature state."" [GOC:devbiol, GOC:mtg_heart]"	76	22	6	21110	0.2727272727272727	0.07894736842105263	PoGs	['GO:0055001', 'GO:0055006', 'GO:0055007']	['ENSG00000112276', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000173991']	[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA']]
GO:BP	GO:0055006	cardiac cell development	3.490507928230633e-07	True	"""The process whose specific outcome is the progression of a cardiac cell over time, from its formation to the mature state. A cardiac cell is a cell that will form part of the cardiac organ of an individual."" [GOC:devbiol]"	82	22	6	21110	0.2727272727272727	0.07317073170731707	PoGs	['GO:0035051', 'GO:0048468']	['ENSG00000112276', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000173991']	[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA']]
GO:BP	GO:0051146	striated muscle cell differentiation	4.1858969501785667e-07	True	"""The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."" [CL:0000737, GOC:ai]"	281	22	8	21110	0.36363636363636365	0.028469750889679714	PoGs	['GO:0042692']	['ENSG00000112276', 'ENSG00000092529', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000173991', 'ENSG00000119401']	[['IBA', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'TAS'], ['IEA']]
GO:BP	GO:0055001	muscle cell development	1.005061897996229e-06	True	"""The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate."" [CL:0000187, GOC:devbiol]"	187	22	7	21110	0.3181818181818182	0.0374331550802139	PoGs	['GO:0042692', 'GO:0048468']	['ENSG00000112276', 'ENSG00000092529', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000173991']	[['IEA'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'TAS']]
GO:BP	GO:0055007	cardiac muscle cell differentiation	2.2148037168304327e-06	True	"""The process in which a cardiac muscle precursor cell acquires specialized features of a cardiac muscle cell. Cardiac muscle cells are striated muscle cells that are responsible for heart contraction."" [GOC:devbiol, GOC:mtg_heart]"	111	22	6	21110	0.2727272727272727	0.05405405405405406	PoGs	['GO:0035051', 'GO:0048738', 'GO:0051146']	['ENSG00000112276', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000173991']	[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA']]
GO:BP	GO:0048738	cardiac muscle tissue development	3.4331424714058777e-06	True	"""The process whose specific outcome is the progression of cardiac muscle over time, from its formation to the mature structure."" [GOC:dph, GOC:jid, GOC:lm]"	223	22	7	21110	0.3181818181818182	0.03139013452914798	PoGs	['GO:0007507', 'GO:0014706']	['ENSG00000112276', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683', 'ENSG00000173991']	[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA'], ['IMP', 'IBA']]
GO:BP	GO:0035269	protein O-linked mannosylation	3.5965946660643456e-06	True	"""The transfer of mannose from dolichyl activated mannose to the hydroxyl group of a seryl or threonyl residue of a protein acceptor molecule, to form an O-linked protein-sugar linkage."" [GOC:bf, PMID:9878797]"	17	22	4	21110	0.18181818181818182	0.23529411764705882	PoGs	['GO:0006493', 'GO:0035268']	['ENSG00000181027', 'ENSG00000106692', 'ENSG00000130714', 'ENSG00000009830']	[['IMP', 'IBA'], ['IMP'], ['IMP', 'IEA'], ['IMP', 'IBA', 'IEA']]
GO:BP	GO:0042692	muscle cell differentiation	4.919107268502943e-06	True	"""The process in which a relatively unspecialized cell acquires specialized features of a muscle cell."" [CL:0000187, GOC:go_curators]"	384	22	8	21110	0.36363636363636365	0.020833333333333332	PoGs	['GO:0030154', 'GO:0061061']	['ENSG00000112276', 'ENSG00000092529', 'ENSG00000160789', 'ENSG00000178209', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000173991', 'ENSG00000119401']	[['IBA', 'IEA'], ['ISS', 'TAS', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IMP', 'IBA', 'TAS'], ['IEA']]
