source	native	name	p_value	significant	description	term_size	query_size	intersection_size	effective_domain_size	precision	recall	query	parents	intersections	evidences
GO:CC	GO:0042383	sarcolemma	9.10587566672497e-13	True	"""The outer membrane of a muscle cell, consisting of the plasma membrane, a covering basement membrane (about 100 nm thick and sometimes common to more than one fiber), and the associated loose network of collagen fibers."" [ISBN:0198506732]"	138	22	9	22122	0.4090909090909091	0.06521739130434782	PoGs	['GO:0005886']	['ENSG00000112276', 'ENSG00000092529', 'ENSG00000173402', 'ENSG00000181027', 'ENSG00000178209', 'ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683']	[['IDA', 'IBA', 'IEA'], ['ISS'], ['IBA', 'IEA'], ['IEA'], ['IDA', 'IBA', 'IEA'], ['IEA'], ['IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'IEA']]
GO:CC	GO:0016011	dystroglycan complex	2.234843893291194e-12	True	"""A protein complex that includes alpha- and beta-dystroglycan, which are alternative products of the same gene; the laminin-binding component of the dystrophin-associated glycoprotein complex, providing a link between the subsarcolemmal cytoskeleton (in muscle cells) and the extracellular matrix. Alpha-dystroglycan is an extracellular protein binding to alpha-laminin and to beta-dystroglycan; beta-dystroglycan is a transmembrane protein which binds alpha-dystroglycan and dystrophin."" [PMID:15117830, PMID:16710609]"	7	22	5	22122	0.22727272727272727	0.7142857142857143	PoGs	['GO:0016010', 'GO:0098797']	['ENSG00000173402', 'ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683']	[['IBA', 'IEA'], ['IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA']]
GO:CC	GO:0016010	dystrophin-associated glycoprotein complex	9.054113997664342e-10	True	"""A multiprotein complex that forms a strong mechanical link between the cytoskeleton and extracellular matrix; typical of, but not confined to, muscle cells. The complex is composed of transmembrane, cytoplasmic, and extracellular proteins, including dystrophin, sarcoglycans, dystroglycan, dystrobrevins, syntrophins, sarcospan, caveolin-3, and NO synthase."" [PMID:15117830, PMID:16710609]"	18	22	5	22122	0.22727272727272727	0.2777777777777778	PoGs	['GO:0090665', 'GO:0098797']	['ENSG00000173402', 'ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683']	[['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA']]
GO:CC	GO:0016012	sarcoglycan complex	1.961477651390329e-09	True	"""A protein complex formed of four sarcoglycans plus sarcospan; there are six known sarcoglycans: alpha-, beta-, gamma-, delta-, epsilon- and zeta-sarcoglycan; all are N-glycosylated single-pass transmembrane proteins. The sarcoglycan-sarcospan complex is a subcomplex of the dystrophin glycoprotein complex, and is fixed to the dystrophin axis by a lateral association with the dystroglycan complex."" [PMID:15117830, PMID:16710609]"	6	22	4	22122	0.18181818181818182	0.6666666666666666	PoGs	['GO:0016011', 'GO:0098797']	['ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683']	[['IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA']]
GO:CC	GO:0090665	glycoprotein complex	3.5444339774036615e-09	True	"""A protein complex containing at least one glycosylated protein, may be held together by both covalent and noncovalent bonds."" [GOC:pf, PMID:7693675, PMID:8662961]"	23	22	5	22122	0.22727272727272727	0.21739130434782608	PoGs	['GO:0032991']	['ENSG00000173402', 'ENSG00000108823', 'ENSG00000163069', 'ENSG00000170624', 'ENSG00000102683']	[['IDA', 'IBA', 'IEA'], ['IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IDA', 'IBA', 'TAS', 'IEA'], ['IBA', 'TAS', 'IEA']]
GO:CC	GO:0030016	myofibril	0.0005596745448022825	True	"""The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism."" [ISBN:0815316194]"	238	22	5	22122	0.22727272727272727	0.02100840336134454	PoGs	['GO:0043292']	['ENSG00000092529', 'ENSG00000173402', 'ENSG00000178209', 'ENSG00000173991', 'ENSG00000119401']	[['ISS'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IBA', 'IEA'], ['ISS', 'IEA']]
GO:CC	GO:0043292	contractile fiber	0.0006709535204583943	True	"""Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle."" [GOC:go_curators, ISBN:0815316194]"	247	22	5	22122	0.22727272727272727	0.020242914979757085	PoGs	['GO:0005737', 'GO:0043232', 'GO:0099512']	['ENSG00000092529', 'ENSG00000173402', 'ENSG00000178209', 'ENSG00000173991', 'ENSG00000119401']	[['ISS'], ['IEA'], ['TAS', 'IEA'], ['IDA', 'IPI', 'ISS', 'IBA', 'IEA'], ['ISS', 'IEA']]
GO:CC	GO:0030017	sarcomere	0.010240064518140699	True	"""The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs."" [ISBN:0815316194]"	217	22	4	22122	0.18181818181818182	0.018433179723502304	PoGs	['GO:0030016', 'GO:0110165']	['ENSG00000092529', 'ENSG00000178209', 'ENSG00000173991', 'ENSG00000119401']	[['ISS'], ['IEA'], ['IDA', 'IPI', 'ISS', 'IBA', 'IEA'], ['ISS', 'IEA']]
GO:CC	GO:0016528	sarcoplasm	0.016931343858149667	True	"""The cytoplasm of a muscle cell; includes the sarcoplasmic reticulum."" [ISBN:0198547684]"	90	22	3	22122	0.13636363636363635	0.03333333333333333	PoGs	['GO:0005737']	['ENSG00000178209', 'ENSG00000130714', 'ENSG00000170624']	[['ISS'], ['IEA'], ['IEA']]
GO:CC	GO:0043034	costamere	0.022721497950624645	True	"""Regular periodic sub membranous arrays of vinculin in skeletal and cardiac muscle cells, these arrays link Z-discs to the sarcolemma and are associated with links to extracellular matrix."" [GOC:jl, GOC:mtg_muscle, ISBN:0198506732, PMID:6405378]"	17	22	2	22122	0.09090909090909091	0.11764705882352941	PoGs	['GO:0030016', 'GO:0110165']	['ENSG00000173402', 'ENSG00000178209']	[['IEA'], ['TAS']]
